tier,scheme,field,field_storage_bits,log_domain,points,seed,keygen_us,party0_full_eval_us,party1_full_eval_us,full_eval_serial_us,attempts,key_bytes_both,keygen_peak_extra_bytes,eval_peak_extra_bytes,output_bytes_per_party,validation
preliminary_candidate_regular,dpf,goldilocks_x2,128,11,16,2,17.625,677.424,675.255,1352.679,1,8192,8192,204800,32768,pass
preliminary_candidate_regular,big_state,goldilocks_x2,128,11,16,2,187.260,169.950,137.896,307.846,1,405616,420576,262176,32768,pass
preliminary_candidate_regular,okvs,goldilocks_x2,128,11,16,2,568.584,493.758,443.286,937.044,1,366656,380016,100352,32768,pass
preliminary_candidate_regular,dpf,goldilocks_x2,128,11,1,3,2.127,72.515,50.495,123.010,1,512,512,204800,32768,pass
preliminary_candidate_regular,big_state,goldilocks_x2,128,11,1,3,15.751,133.405,109.270,242.675,1,7536,8576,262176,32768,pass
preliminary_candidate_regular,okvs,goldilocks_x2,128,11,1,3,177.720,463.685,458.254,921.939,1,573760,574610,100352,32768,pass
preliminary_candidate_regular,dpf,goldilocks_x2,128,11,2,3,3.915,111.688,79.182,190.870,1,1024,1024,204800,32768,pass
preliminary_candidate_regular,big_state,goldilocks_x2,128,11,2,3,28.985,137.501,110.657,248.158,1,10528,12496,262176,32768,pass
preliminary_candidate_regular,okvs,goldilocks_x2,128,11,2,3,176.998,456.226,455.694,911.920,1,521808,523492,100352,32768,pass
preliminary_candidate_regular,dpf,goldilocks_x2,128,11,3,3,4.515,144.071,119.367,263.438,1,1536,1536,204800,32768,pass
preliminary_candidate_regular,big_state,goldilocks_x2,128,11,3,3,28.474,136.098,117.754,253.852,1,15040,18720,262176,32768,pass
preliminary_candidate_regular,okvs,goldilocks_x2,128,11,3,3,189.825,415.197,437.842,853.039,1,521808,525110,100352,32768,pass
preliminary_candidate_regular,dpf,goldilocks_x2,128,11,4,3,5.194,185.105,153.134,338.239,1,2048,2048,204800,32768,pass
preliminary_candidate_regular,big_state,goldilocks_x2,128,11,4,3,38.408,155.178,135.660,290.838,1,23136,26960,262176,32768,pass
preliminary_candidate_regular,okvs,goldilocks_x2,128,11,4,3,191.060,418.089,410.844,828.933,1,469920,473272,100352,32768,pass
preliminary_candidate_regular,dpf,goldilocks_x2,128,11,5,3,6.044,215.227,196.235,411.462,1,2560,2560,204800,32768,pass
preliminary_candidate_regular,big_state,goldilocks_x2,128,11,5,3,43.669,140.397,113.569,253.966,1,36784,40752,262176,32768,pass
preliminary_candidate_regular,okvs,goldilocks_x2,128,11,5,3,236.648,492.882,471.525,964.407,1,469920,473322,100352,32768,pass
preliminary_candidate_regular,dpf,goldilocks_x2,128,11,6,3,7.608,279.429,253.524,532.953,1,3072,3072,204800,32768,pass
preliminary_candidate_regular,big_state,goldilocks_x2,128,11,6,3,61.705,153.221,124.343,277.564,1,63232,70480,262176,32768,pass
preliminary_candidate_regular,okvs,goldilocks_x2,128,11,6,3,223.356,425.326,415.306,840.632,1,469920,476508,100352,32768,pass
preliminary_candidate_regular,dpf,goldilocks_x2,128,11,7,3,7.728,283.904,260.711,544.615,1,3584,3584,204800,32768,pass
preliminary_candidate_regular,big_state,goldilocks_x2,128,11,7,3,84.728,153.243,126.962,280.205,1,115280,122672,262176,32768,pass
preliminary_candidate_regular,okvs,goldilocks_x2,128,11,7,3,237.099,418.388,402.031,820.419,1,469920,476558,100352,32768,pass
preliminary_candidate_regular,dpf,goldilocks_x2,128,11,8,3,8.476,320.613,297.282,617.895,1,4096,4096,204800,32768,pass
preliminary_candidate_regular,big_state,goldilocks_x2,128,11,8,3,100.985,139.398,112.403,251.801,1,218528,226064,262176,32768,pass
preliminary_candidate_regular,okvs,goldilocks_x2,128,11,8,3,258.483,502.651,441.056,943.707,1,418160,424848,100352,32768,pass
preliminary_candidate_regular,dpf,goldilocks_x2,128,11,9,3,9.218,387.133,386.538,773.671,1,4608,4608,204800,32768,pass
preliminary_candidate_regular,big_state,goldilocks_x2,128,11,9,3,107.258,159.616,146.291,305.907,1,221424,229104,262176,32768,pass
preliminary_candidate_regular,okvs,goldilocks_x2,128,11,9,3,265.733,400.725,389.093,789.818,1,418160,424898,100352,32768,pass
preliminary_candidate_regular,dpf,goldilocks_x2,128,11,10,3,11.480,436.797,421.658,858.455,1,5120,5120,204800,32768,pass
preliminary_candidate_regular,big_state,goldilocks_x2,128,11,10,3,119.739,181.749,153.695,335.444,1,223600,231424,262176,32768,pass
preliminary_candidate_regular,okvs,goldilocks_x2,128,11,10,3,313.326,467.175,450.241,917.416,1,418160,424948,100352,32768,pass
preliminary_candidate_regular,dpf,goldilocks_x2,128,11,11,3,12.383,542.056,519.261,1061.317,1,5632,5632,204800,32768,pass
preliminary_candidate_regular,big_state,goldilocks_x2,128,11,11,3,174.953,237.219,195.327,432.546,1,227184,241424,262176,32768,pass
preliminary_candidate_regular,okvs,goldilocks_x2,128,11,11,3,351.993,433.702,413.277,846.979,1,418160,431270,100352,32768,pass
preliminary_candidate_regular,dpf,goldilocks_x2,128,11,12,3,12.000,461.169,454.571,915.740,1,6144,6144,204800,32768,pass
preliminary_candidate_regular,big_state,goldilocks_x2,128,11,12,3,136.031,180.244,151.068,331.312,1,233584,247968,262176,32768,pass
preliminary_candidate_regular,okvs,goldilocks_x2,128,11,12,3,411.133,402.100,391.249,793.349,1,418160,431320,100352,32768,pass
preliminary_candidate_regular,dpf,goldilocks_x2,128,11,13,3,13.826,504.771,483.520,988.291,1,6656,6656,204800,32768,pass
preliminary_candidate_regular,big_state,goldilocks_x2,128,11,13,3,132.310,159.367,133.846,293.213,1,245616,260144,262176,32768,pass
preliminary_candidate_regular,okvs,goldilocks_x2,128,11,13,3,425.985,411.068,399.377,810.445,1,418160,431370,100352,32768,pass
preliminary_candidate_regular,dpf,goldilocks_x2,128,11,14,3,13.360,535.547,519.350,1054.897,1,7168,7168,204800,32768,pass
preliminary_candidate_regular,big_state,goldilocks_x2,128,11,14,3,198.514,164.339,137.454,301.793,1,268912,283584,262176,32768,pass
preliminary_candidate_regular,okvs,goldilocks_x2,128,11,14,3,498.909,447.490,440.274,887.764,1,418160,431420,100352,32768,pass
preliminary_candidate_regular,dpf,goldilocks_x2,128,11,15,3,15.298,573.755,555.694,1129.449,1,7680,7680,204800,32768,pass
preliminary_candidate_regular,big_state,goldilocks_x2,128,11,15,3,160.831,162.389,136.265,298.654,1,314736,329552,262176,32768,pass
preliminary_candidate_regular,okvs,goldilocks_x2,128,11,15,3,481.866,410.867,397.404,808.271,1,418160,431470,100352,32768,pass
preliminary_candidate_regular,dpf,goldilocks_x2,128,11,16,3,15.633,627.787,597.013,1224.800,1,8192,8192,204800,32768,pass
preliminary_candidate_regular,big_state,goldilocks_x2,128,11,16,3,190.490,164.821,138.283,303.104,1,405616,420576,262176,32768,pass
preliminary_candidate_regular,okvs,goldilocks_x2,128,11,16,3,505.958,405.236,442.124,847.360,1,366656,380016,100352,32768,pass
